,title,brand,model,size,price
56,Smart Tv Led Pro Uhd 4k LG 65 65un731c Thinq Ai Usb Hdmi,LG,65UN731C,65,4499
57,Samsung Smart Tv Crystal Uhd Tu8000 4k 50 Alexa Built In,Samsung,UN50TU8000,50,3099
58,"Smart Tv Philips 65 4k 65pug7625/78 Wifi, 3 Hdmi, 2 Usb",Philips,65PUG7625/78,65,5349
59,Samsung Smart Tv Crystal Uhd Tu7020 4k 2020 50 Bluetooth,Samsung,UN50TU7020,50,3099
60,Smart Tv Led Pro Uhd 4k LG 55 Led 55un731c Thinq Ai Usb Hdm,LG,55UN731C,55,3299
61,Smart Tv Led Philips 4k 58 58pug6654/78 3 Hdmi 2 Usb Wifi,Philips,58PUG6654,58,3399
62,Smart Tv LG 43  4k Un7300 Uhd Wifi Bluetooth Hdr Iot,LG,43UN7300,43,2599
63,Samsung Smart Tv Crystal Uhd Tu7020 4k 2020 50 Bluetooth,Samsung,UN50TU7020,50,3099
64,Smart Tv Led Pro Uhd 4k LG 75 75un801c Thinq Ai Usb Hdmi,LG,75UN801C,75,7299
65,Smart Tv Philips 50pug6654 50 4k Hdr10+ Bluetooth Borderless,Philips,50PUG6654,50,2699
66,Smart Tv LG 60 4k 60un7310  Bluetooth Hdr C/ Smart Magic,LG,60UN7310,60,4199
67,Smart Tv Semp Led 4k Uhd 50 50sk8300 Hdr Hdmi Usb Android,Semp,50SK8300,50,2699
68,Samsung Smart Tv Crystal Uhd Tu7020 4k 2020 58 Bluetooth,Samsung,UN58TU7020,58,3399
69,Smart Tv Led Philco 4k Uhd 50 Ptv50g70sblsg Youtube Netflix,Philco,PTV50G70SBLSG,50,2569
70,Smart Tv 4k Uhd Philips 65 Ambilight 65pug6794/78 Bluetooth,Philips,65PUG6794,65,4099
71,"Smart Tv Philips 55 4k 55pug7625/78, Wifi, 3 Hdmi, 2 Usb",Philips,55PUG7625/78,55,3799
72,Smart Tv Tcl Led 4k 55 55p715 Uhd Hdr Hdmi Netflix E Youtube,TCL,55P715,55,2999
73,Smart Tv Tcl Led 50 50p715 4k Uhd Hdr Hdmi Netflix E Youtube,TCL,50P715,50,2799
74,Samsung Smart Tv Crystal Uhd Tu7000 4k 65 Bluetooth,Samsung,UN65TU7000,65,6099
75,"Smart TV LG AI ThinQ 55NANO81SNA LED 4K 55"" 100V/240V",LG,55NANO81,55,3830
76,"Smart TV LG AI ThinQ 55UN7310PSC LED 4K 55"" 100V/240V",LG,55UN7310,55,3699
77,"Smart TV TCL Serie C71 65C715 QLED 4K 65"" 100V/240V",TCL,65C715,65,4671
78,Smart Tv Led 50  Hq Ultra Hd 4k Netflix,HQ,HQ,50,2399
79,"Smart TV LG AI ThinQ OLED65CXPSA 4K 65"" 100V/240V",LG,OLED65C,65,10523
80,Smart Tv Samsung 75 Polegadas 4k Uhd Crystal Un75tu7020gxzd,Samsung,UN75TU7020GXZD,75,7369
81,Smart Tv 4k Samsung Crystal Uhd 65  Wi-fi - Un65tu8000gxzd,Samsung,UN65TU8000GXZD,65,4171
82,Smart Tv Led 43  Hq Hqstv43ny Ultra Hd 4k,HQ,HQ,43,1999
83,Smart Tv Oled 55 Polegadas LG Oled55cxpsa 4k Bluetooth Hdr,LG,OLED55CXPSA,55,5722
84,"Smart TV LG AI ThinQ 65NANO86SNA LED 4K 65"" 100V/240V",LG,65NANO86,65,7299
85,Smart Tv Tcl Qled Ultra Hd 4k 65 Android Tv - Ql65c715,TCL,QL65C715,65,4706
86,"Smart Samsung Tv Qled 4k Q70t 55, Modo Ambiente 3.0, Borda I",Samsung,QN55Q70TAGXZD,55,4851
87,"Smart TV LG AI ThinQ 50UN8000PSD LED 4K 50"" 100V/240V",LG,50UN8000,50,3238
88,"Smart TV Samsung Series 7 UN43TU7000GXZD LED 4K 43""",Samsung,UN43TU7000,43,2517
89,"Smart TV Philips 6700 Series 55PUG6794/78 LED 4K 55"" 110V/240V",Philips,55PUG6794,55,3699
90,Smart Tv Led 50  Uhd 4k Samsung Lh50beth Crystal Uhd Hdr,Samsung,SAMSUNG,50,3099
91,"Smart TV Philco PTV86P50SNSG LED 4K 86"" 110V/220V",Philco,PTV86P50SNSG,86,27889
92,Smart Tv Nanocell 55 Polegadas LG Nano86sna Uhd 4k Ips Wi-fi,LG,55NANO86SNA,55,4102
93,Smart Tv LG Led 4k 50  Active Hdr Thinq Ai Wi-fi-50un7310psc,LG,50UN7310PSC,50,3101
94,Smart Tv Led 50  4k Uhd LG 50un731c 3 Hdmi 2 Usb Wi-fi,LG,50UN731C,50,3199
95,Smart Tv Nanocell 50  LG Nano79sna Uhd 4k Ips Wi-fi,LG,50NANO79SNA,50,3130
96,Smart Tv Tcl Qled Ultra Hd 4k 55 Android Tv - Ql55c715,TCL,55C715,55,3529
97,Smart Tv 4k Samsung Qled 50  Tizen E Wi-fi - Qn50q60tagxzd,Samsung,QN50Q60TAGXZD,50,3999
98,Smart Tv Led 70 Polegadas LG Un7310psc 4k Bluetooth Hdr,LG,70UN7310PSC,70,5655
99,Smart Tv Crystal 75 Samsung Tu8000 Uhd 4k Bluetooth,Samsung,UN75TU8000GXZD,75,7018
100,"Smart TV Samsung Series 8 UN58TU7000GXZD LED 4K 58"" 100V/240V",Samsung,UN58TU7000,58,3987
101,"Smart TV HQ HQSTV55NY LED 4K 55"" 110V/220V",HQ,HQSTV55NY,55,2999
102,Smart Tv Led 70 Polegadas LG Un7310psc 4k Bluetooth Hdr,LG,70UN7310PSC,70,5655
103,Transforme Sua Tv Comum Em Smart Tv,smart tv,Box,20,199
